OperatorName,year,num_disclosures,total_water_consump
"Hannathon Petroleum, LLC",2013,15,79233648.0
"Reliance Energy, Inc",2013,20,77346849.0
"Headington Energy Partners, LLC",2019,13,76548494.0
Abraxas Petroleum Corporation,2016,12,76511637.0
"Ring Energy, Inc.",2018,65,76439875.0
"Atlas Energy, L.P.",2015,32,75594384.8
Samson,2012,35,75476099.0
Citation Oil and Gas Corp.,2014,69,72669004.0
"Jetta Operating Company, Inc",2022,20,71769601.0
Stonegate Production,2014,13,70102027.0
Energy Corporation of America,2011,13,67823647.0
"BKV Barnett, LLC",2021,32,66056992.0
"Steward Energy II, LLC",2020,16,63190950.0
"Finley Resources, Inc.",2022,35,54268009.9
"Piceance Energy, LLC",2014,13,52004875.0
"FIML Natural Resources, LLC",2013,18,51698191.0
Forest Oil Corporation,2013,15,51216159.0
Laramie Energy LLC,2025,17,51128757.834
"American Energy - Woodford, LLC",2015,11,49728097.0
Triangle USA Petroleum Corporation,2014,13,46469417.0
"Hadaway Consulting and Engineering, LLC",2013,18,45738184.0
Jonah Energy LLC,2018,31,44129886.0
"Berry Petroleum Company, LLC",2018,18,41903071.960007764
"White Star Petroleum, LLC",2017,11,40916651.0
J CLEO THOMPSON,2015,21,34760874.03160246
"DJR OPERATING, LLC",2023,15,31547619.0
Scout Energy Partners,2022,59,25281656.0
Wexpro Company,2024,30,21948032.0
Aera Energy LLC,2020,275,20792501.0
Three Rivers Operating Co II LLC,2014,14,20764264.0
"Newark E&P Operating, LLC",2015,15,20229194.0
"White Rock Oil & Gas, LLC",2022,13,19446426.0
Fidelity Exploration & Production,2013,11,19208601.0
COBRA OIL & GAS CORPORATION,2014,14,16468937.0
"W&T Offshore, Inc.",2014,13,15286198.0
BreitBurn,2018,20,14552126.3
Berry Petroleum,2013,24,14321595.0
"Burnett Oil Co., Inc.",2025,14,11048511.0
Stronghold Energy II Operating LLC,2021,15,9467026.0
Sabinal Energy,2018,15,7191681.0
"Denbury Onshore, LLC",2022,14,7023508.0
