OperatorName,num_disclosures,year,avg_water_consum
"Camino Natural Resources, LLC",13,2024,27540331.307692308
Campbell Oil & Gas. Inc,1,2015,7251174.0
"Canan Operating, Inc.",3,2013,2733261.3333333335
Cantera Operating LLC,6,2015,78937.0
Canvas Energy LLC,6,2024,10929536.833333334
"Canyon Creek Energy Operating, LLC",5,2017,12215923.0
Capitan Energy INC,10,2014,12616458.6
"Capstone Natural Resources II, LLC",3,2017,1089196.6666666667
"Capstone Natural Resources, LLC",4,2014,84315.0
Carl E. Gungoll Exploration LLC,1,2014,527439.0
"Carrera Energy, LLC",2,2017,14883562.0
"Carrizo Oil & Gas, Inc.",79,2016,9456230.05063291
Cascade Petroleum,1,2013,33205.0
"Casillas Operating, LLC",9,2019,19488716.555555556
Castlerock Exploration,1,2023,19717740.0
Catamount Energy Partners,4,2017,122577.75
"Catena Resources Operating, LLC",1,2019,25534110.0
"Caza Operating, LLC",6,2021,15423884.5
"Centennial Resource Production, LLC",41,2018,16334406.414634146
"Central Resources, Inc.",2,2015,280623.0
"Century Exploration Houston, LLC",1,2013,125534.0
Champion Lone Star Operating,2,2017,240492.5
"Chaparral Energy, LLC",45,2014,5753113.555555556
"Charter Oak Production Co., LLC",8,2018,8673495.75
"Chesapeake Operating, Inc.",590,2025,8215531.397457628
Chevron USA Inc.,336,2014,10866138.619107142
Cheyenne Petroleum Company,15,2022,10998587.666666666
Chief Oil & Gas,35,2014,8503733.0
"Choice Exploration, Inc.",6,2013,136296.33333333334
"Cholla Petroleum, Inc.",6,2014,215930.83333333334
Chord Energy,8,2024,13832525.125
Cimarex Energy Co.,170,2025,16719608.679918842
Cimarex Energy Co. of Colorado,9,2014,5169835.666666667
Cinco Natural Resources Corporation,2,2014,6578544.0
"Cinco Oil & Gas, LLC",1,2023,18330462.0
Circle 9 Resources LLC,1,2019,32172.0
"Circle-S Energy, LLC",2,2024,14261520.0
Cirque Resources LP,1,2014,4509550.0
"Cisco Operating, LLC",3,2014,2880269.0
Citation Oil and Gas Corp.,69,2014,1053173.9710144927
Citizen Energy II,26,2021,16894446.192307692
Citrus Energy Corporation,1,2010,2453304.0
Civitas North LLC,1,2023,23626076.0
"Civitas Permian Operating, LLC",34,2025,26328482.588235293
Clay Hamilton,1,2024,29511300.0
"Clayton Williams Energy, Inc.",25,2014,3251764.12
"Clear Fork, Inc.",4,2014,13058.5
"Colgate Operating, LLC",8,2019,16334936.25
"Comanche Exploration Co., LLC",4,2018,12958039.5
Comanche Resources Company,2,2016,5908945.0
Command,2,2024,27841.0
"Compass Energy Operating, LLC",8,2014,169283.5
Comstock Oil & Gas,72,2012,22505050.605833333
Condor Energy Technology LLC,1,2013,2612581.0
Confluence DJ LLC,3,2018,10825303.0
ConocoPhillips Company/Burlington Resources,443,2019,7828130.001243355
"Contango Resources, Inc.",5,2019,7646289.4
"Continental Resources, Inc",369,2014,11891970.04739332
Copestone Operating LLC,1,2015,9324.0
Corinthian Exploration (USA) Corp.,4,2014,103153.25
Corlena Oil Company,1,2017,12377021.0
Cornerstone Natural Resources,1,2014,823536.0
"Coronado Energy Partners, LLC",1,2024,17107522.0
Council Oak Resources,3,2017,13852022.333333334
"Courson Oil & Gas, Inc.",2,2023,23383.5
"Covenant Operating, LLC",3,2016,2571.6666666666665
Covey Park Gas,1,2019,27253968.0
"Covey Park Operating, LLC",1,2016,23772.0
"Craig Elder Oil and Gas, L.L.C.",1,2020,167575.0
Crawley Petroleum,6,2018,9615879.333333334
"Crescent Pass Energy, LLC",7,2024,7990316.142857143
Crescent Point Energy US Corp,68,2019,3414808.867647059
Crestone Peak Resources,62,2020,14688835.725806452
"Crimson Energy Partners III, LLC",1,2013,2732814.0
