OperatorName,num_disclosures
"MWS Producing, Inc.",4
Laredo Energy,4
King Operating Corporation,4
Inflection Energy (PA) LLC,4
Harmonia Petroleum Corporation,4
"Green Century Exploration & Production, LLC",4
Gastar Exploration Inc.,4
"GULF EXPLORATION, L.L.C.",4
FORMENTERA OPERATIONS LLC,4
"FDL Operating, LLC",4
Extex Operating Company,4
Equinor USA Onshore Properties Inc.,4
"Empresa Operating, LLC",4
Elm Ridge Exploration Co LLC,4
"EAGLE ROCK MID-CONTINENT OPERATING, LLC",4
"Driftwood Energy Operating, LLC",4
Corinthian Exploration (USA) Corp.,4
"Comanche Exploration Co., LLC",4
"Clear Fork, Inc.",4
Catamount Energy Partners,4
"Capstone Natural Resources, LLC",4
"Cambrian Management, Ltd",4
"Bruin E&P Operating, LLC",4
BlueStem Energy,4
Baytex Energy USA Ltd,4
BARROW-SHAVER RESOURCES CO.,4
"Worsham-Steed Gas Storage, LLC",3
Wishbone Texas Operating Co.,3
"Western Chief Operating, LLC",3
Ward Petroleum,3
Walter Exploration Company,3
"Walsh & Watts, Inc.",3
WILLIAMS OIL COMPANY,3
WBH Energy Partners LLC,3
Upland Operating LLC,3
"Twisted Oak Operating, LLC",3
"Tribune Resources, LLC",3
"Treadstone Energy Partners, LLC",3
"Three Span Oil & Gas, Inc.",3
"The Quintin Little Company, Inc.",3
Texegy Operating Company LLC,3
Texas Secondary Oilfield Services,3
TALL CITY OPERATIONS LLC,3
"TACOR Resources, Inc.",3
Stephens Production Company,3
Steller Energy & Investment Corp,3
"Silverback Operating, LLC",3
"Silver Hill Energy Partners, LLC",3
"Sierra Resources, LLC",3
"SEG Williston, LLC",3
Rocky Top Energy,3
Renos Land and Minerals Company,3
RKR Exploration Inc,3
"REOC, LLC",3
"Pursuit Oil & Gas STX, LLC",3
Pine Wave Energy Partners,3
"Peterson Energy Operating, Inc.",3
PINEDALE ENERGY PARTNERS OPERATING LLC,3
"PBEX Operations, LLC",3
Opal Resources Operating Company,3
NorthStar Operating Company,3
Navidad Resources LLC,3
"Murfin Drilling Company, Inc.",3
Murchison Oil & Gas Inc,3
"Mueller Exploration, Inc.",3
"McElvain Energy, Inc.",3
MD America Energy LLC,3
"Legacy Exploration, LLC I",3
Koda Operating,3
K.P. Kauffman Company,3
JKLM ENERGY,3
"JAMEX, Inc.",3
International Energy Corporation of Northern Oklahoma,3
"ICA Energy Operating, LLC",3
"Hogback Exploration, Inc",3
Hibernia Resources IV LLC,3
HWH DRILLING LLC,3
HB2 Eneregy,3
Gunn Oil Company,3
Grenadier Energy Partners II,3
GeoSouthern Energy Corporation,3
Ganador Operaing LLC,3
Fulcrum Energy Operating LLC,3
"Freedom Production, Inc.",3
FourPoint Resources LLC,3
"Foundation Energy Management, LLC",3
Fivestones Energy LLC,3
FOUR CORNERS PETROLEUM,3
El Toro Resources LLC,3
"EMEP Operating, LLC",3
"EF Energy, LLC",3
Diversified Production LLC,3
Dick Lindsay Oil Co,3
"DE Central Operating, LLC",3
"Covenant Operating, LLC",3
Council Oak Resources,3
Confluence DJ LLC,3
"Cisco Operating, LLC",3
"Capstone Natural Resources II, LLC",3
"Canan Operating, Inc.",3
California Resources Corporation,3
CGS Operating,3
CBP Operating LLC,3
"Browning Oil Company, Inc.",3
Broad Oak Energy II LLC,3
"Brammer Engineering, Inc.",3
"Bold Operating, LLC",3
"Boaz Energy II Operating, LLC",3
BlueStone Natural Resources,3
"Blue Dome Operating, LLC",3
"Blue Dolphin Production, LLC",3
Black Hills Exploration and Production,3
"Beryl Oil and Gas, LP",3
Berexco LLC,3
"Bedrock Production, LLC",3
"Ballard Exploration Company, Inc.",3
BRG Petroleum LLC,3
Auterra Resources,3
"Atoka Operating, Inc.",3
"Arrow S Energy Operating, LLC",3
"Armor Energy, LLC",3
"Apex Natural Gas, LLC",3
Altamont Energy,3
